# Wavelength (um),Band half width (um), Rp/Rs, Rp/R* error
@stis_430l
0.3072, 0.0088, 0.12217, 0.00057
0.3247, 0.0088, 0.12240, 0.00040
0.3379, 0.0044, 0.12249, 0.00050
0.3467, 0.0044, 0.12258, 0.00049
0.3555, 0.0044, 0.12276, 0.00045
0.3643, 0.0044, 0.12281, 0.00039
0.3731, 0.0044, 0.12264, 0.00058
0.3797, 0.0022, 0.12168, 0.00041
0.3841, 0.0022, 0.12216, 0.00049
0.3885, 0.0022, 0.12243, 0.00034
0.3929, 0.0022, 0.12267, 0.00048
0.3973, 0.0022, 0.12151, 0.00053
0.4017, 0.0022, 0.12194, 0.00030
0.4061, 0.0022, 0.12209, 0.00047
0.4105, 0.0022, 0.12198, 0.00047
0.4149, 0.0022, 0.12177, 0.00032
0.4193, 0.0022, 0.12220, 0.00034
0.4237, 0.0022, 0.12163, 0.00030
0.4281, 0.0022, 0.12226, 0.00036
0.4325, 0.0022, 0.12157, 0.00048
0.4369, 0.0022, 0.12150, 0.00033
0.4413, 0.0022, 0.12124, 0.00052
0.4457, 0.0022, 0.12158, 0.00056
0.4501, 0.0022, 0.12202, 0.00032
0.4545, 0.0022, 0.12175, 0.00027
0.4589, 0.0022, 0.12148, 0.00026
0.4633, 0.0022, 0.12122, 0.00024
0.4677, 0.0022, 0.12179, 0.00037
0.4721, 0.0022, 0.12174, 0.00031
0.4765, 0.0022, 0.12148, 0.00042
0.4809, 0.0022, 0.12077, 0.00071
0.4853, 0.0022, 0.12164, 0.00035
0.4897, 0.0022, 0.12146, 0.00039
0.4941, 0.0022, 0.12091, 0.00023
0.4985, 0.0022, 0.12181, 0.00025
0.5029, 0.0022, 0.12172, 0.00029
0.5072, 0.0022, 0.12152, 0.00036
0.5116, 0.0022, 0.12111, 0.00052
0.5160, 0.0022, 0.12132, 0.00047
0.5204, 0.0022, 0.12102, 0.00037
0.5248, 0.0022, 0.12206, 0.00038
0.5292, 0.0022, 0.12099, 0.00033
0.5336, 0.0022, 0.12187, 0.00032
0.5380, 0.0022, 0.12140, 0.00026
0.5424, 0.0022, 0.12125, 0.00029
0.5467, 0.0022, 0.12164, 0.00038
0.5511, 0.0022, 0.12180, 0.00026
0.5555, 0.0022, 0.12118, 0.00032
0.5599, 0.0022, 0.12149, 0.00039
0.5643, 0.0022, 0.12139, 0.00029
0.5685, 0.0022, 0.12124, 0.00041
@stis_750l
0.5453, 0.0039, 0.12277, 0.00102
0.5531, 0.0039, 0.12271, 0.00078
0.5609, 0.0039, 0.12221, 0.00081
0.5687, 0.0039, 0.12253, 0.00028
0.5765, 0.0039, 0.12114, 0.00036
0.5843, 0.0039, 0.12245, 0.00029
0.5921, 0.0039, 0.12219, 0.00030
0.5999, 0.0039, 0.12271, 0.00037
0.6077, 0.0039, 0.12187, 0.00026
0.6155, 0.0039, 0.12209, 0.00027
0.6233, 0.0039, 0.12227, 0.00025
0.6311, 0.0039, 0.12210, 0.00025
0.6389, 0.0039, 0.12191, 0.00027
0.6467, 0.0039, 0.12126, 0.00019
0.6545, 0.0039, 0.12082, 0.00024
0.6623, 0.0039, 0.12203, 0.00026
0.6702, 0.0039, 0.12071, 0.00049
0.6780, 0.0039, 0.12133, 0.00021
0.6858, 0.0039, 0.12159, 0.00093
0.6936, 0.0039, 0.12103, 0.00024
0.7014, 0.0039, 0.12151, 0.00026
0.7092, 0.0039, 0.12135, 0.00028
0.7170, 0.0039, 0.12092, 0.00036
0.7248, 0.0039, 0.12120, 0.00084
0.7327, 0.0039, 0.12131, 0.00026
0.7405, 0.0039, 0.12110, 0.00036
0.7483, 0.0039, 0.12078, 0.00056
0.7561, 0.0039, 0.12212, 0.00032
0.7639, 0.0039, 0.12159, 0.00044
0.7717, 0.0039, 0.12211, 0.00026
0.7796, 0.0039, 0.12122, 0.00042
0.7874, 0.0039, 0.12158, 0.00027
0.7952, 0.0039, 0.12171, 0.00042
0.8030, 0.0039, 0.12124, 0.00041
0.8108, 0.0039, 0.12117, 0.00044
0.8186, 0.0039, 0.12050, 0.00053
0.8264, 0.0039, 0.12180, 0.00036
0.8343, 0.0039, 0.12058, 0.00085
0.8538, 0.0156, 0.12159, 0.00043
0.8851, 0.0156, 0.12139, 0.00026
0.9163, 0.0156, 0.11988, 0.00048
0.9475, 0.0156, 0.12169, 0.00062
@wfc3_g141
1.1217, 0.0093, 0.12093, 0.00014
1.1402, 0.0093, 0.12118, 0.00013
1.1588, 0.0093, 0.12102, 0.00012
1.1774, 0.0093, 0.12099, 0.00011
1.1959, 0.0093, 0.12096, 0.00011
1.2145, 0.0093, 0.12097, 0.00011
1.2330, 0.0093, 0.12084, 0.00011
1.2516, 0.0093, 0.12075, 0.00011
1.2702, 0.0093, 0.12081, 0.00014
1.2887, 0.0093, 0.12085, 0.00015
1.3073, 0.0093, 0.12072, 0.00014
1.3259, 0.0093, 0.12138, 0.00013
1.3444, 0.0093, 0.12180, 0.00015
1.3630, 0.0093, 0.12176, 0.00016
1.3815, 0.0093, 0.12166, 0.00013
1.4001, 0.0093, 0.12163, 0.00014
1.4187, 0.0093, 0.12134, 0.00013
1.4372, 0.0093, 0.12125, 0.00013
1.4558, 0.0093, 0.12142, 0.00018
1.4744, 0.0093, 0.12152, 0.00016
1.4929, 0.0093, 0.12133, 0.00014
1.5115, 0.0093, 0.12147, 0.00014
1.5300, 0.0093, 0.12143, 0.00017
1.5486, 0.0093, 0.12130, 0.00014
1.5672, 0.0093, 0.12141, 0.00020
1.5857, 0.0093, 0.12100, 0.00016
1.6043, 0.0093, 0.12114, 0.00017
1.6229, 0.0093, 0.12098, 0.00022
1.6391, 0.0093, 0.12083, 0.00018
@irac
3.6000, 0.3800, 0.12170, 0.00050
4.5000, 0.5600, 0.12108, 0.00028
