# Wavelength (um), band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
 1.1425, 0.035, 0.07791, 0.00031
 1.1775, 0.035, 0.07732, 0.00029
 1.2125, 0.035, 0.07717, 0.00030
 1.2475, 0.035, 0.07753, 0.00030
 1.2825, 0.035, 0.07812, 0.00028
 1.3175, 0.035, 0.07789, 0.00027
 1.3525, 0.035, 0.07847, 0.00029
 1.3875, 0.035, 0.07891, 0.00030
 1.4225, 0.035, 0.07832, 0.00029
 1.4575, 0.035, 0.07839, 0.00030
 1.4925, 0.035, 0.07773, 0.00033
 1.5275, 0.035, 0.07865, 0.00033
 1.5625, 0.035, 0.07866, 0.00037
 1.5975, 0.035, 0.07816, 0.00035
 1.6325, 0.035, 0.07751, 0.00036
