# Wavelength (um), Band width (um), Rp/Rs, Rp/R* error
@wfc3_g141
1.126, 0.031, 0.13181, 0.00040
1.156, 0.029, 0.13173, 0.00034
1.185, 0.028, 0.13241, 0.00031
1.212, 0.027, 0.13163, 0.00036
1.239, 0.026, 0.13136, 0.00039
1.266, 0.027, 0.13118, 0.00035
1.292, 0.027, 0.13110, 0.00034
1.319, 0.026, 0.13128, 0.00041
1.345, 0.026, 0.13228, 0.00040
1.372, 0.027, 0.13211, 0.00039
1.400, 0.028, 0.13183, 0.00036
1.428, 0.028, 0.13188, 0.00034
1.457, 0.029, 0.13227, 0.00033
1.487, 0.031, 0.13195, 0.00040
1.519, 0.032, 0.13194, 0.00037
1.551, 0.034, 0.13128, 0.00044
1.586, 0.036, 0.13122, 0.00034
1.624, 0.039, 0.13117, 0.00036
